Model,RMSE,MAE,R²,MAPE
Gradient Boosting,100.13898676343244,64.19543600572023,0.6513557265438459,29.67524053021147
Random Forest,102.37649386321998,65.59576865463528,0.6356014378419351,29.90698137030914
Linear Regression,120.9722865369062,78.77057529360326,0.49119903111374597,36.96600890187142
Ridge Regression,120.98123718549861,78.67932218566472,0.49112373672552667,36.918759341843895
Lasso Regression,121.0254721397994,78.1856225016077,0.4907515429206669,36.71734315690425
