listing_id,name,neighborhood,current_price,recommended_price,price_change,pct_change,accommodates,bedrooms,number_of_reviews
46262041,433 West 53-Studio in Midtown West,Hell's Kitchen,125.0,130.09,5.09,4.07,2,0.0,8
52838667,Luxury Hotspot in Williamsburg - Best Location!,Williamsburg,175.0,203.91,28.91,16.52,2,0.0,6
4431674,HOME AWAY FROM HOME,Harlem,180.0,168.19,-11.81,-6.56,2,1.0,39
847648,"Charming Apt in Historic Sugar Hill, Harlem",Harlem,108.0,123.88,15.88,14.71,2,1.0,14
5649163,Sun drenched 1 bed minutes from subway,Bedford-Stuyvesant,218.0,164.97,-53.03,-24.32,2,1.0,17
2659448,Bedstuy Apartment for Rent,Bedford-Stuyvesant,105.0,114.73,9.73,9.26,2,1.0,61
45727008,Private Garden Oasis in heart of Trendy Bushwick,Bushwick,213.0,213.38,0.38,0.18,4,2.0,6
49256890,Recently Updated One Bedroom East Side Walk-Up,Upper East Side,197.0,165.37,-31.63,-16.06,2,1.0,61
618708161953854098,Lovely 3-Bedroom entire apartment.,Bushwick,211.0,192.11,-18.89,-8.95,4,3.0,11
1002938301240121368,Brooklyn central,Crown Heights,209.0,313.52,104.52,50.01,6,1.0,84
37060440,New 3BR 2Full Bath Apartment With Dryer & Washer,Crown Heights,242.0,372.58,130.58,53.96,8,3.0,55
47448046,626 10th Avenue-Studio in Midtown West,Hell's Kitchen,140.0,124.17,-15.83,-11.3,2,0.0,9
837677241873217389,2BR/2BA Bed-Stuy great location,Bedford-Stuyvesant,250.0,196.56,-53.44,-21.37,6,2.0,32
42502510,New York City Comfort.,Bedford-Stuyvesant,100.0,130.24,30.24,30.24,2,1.0,22
46638688,Sunny Studio | Desirable E88 Street | Work & Study,Upper East Side,131.0,184.31,53.31,40.69,2,0.0,9
23841481,"Duplex, One Of A Kind, in Heart of Williamsburg",Williamsburg,642.0,592.05,-49.95,-7.78,6,2.0,10
593539645856888063,"Clean, Cozy & Stylish 2-Bedroom walkup rental unit",Harlem,325.0,202.63,-122.37,-37.65,4,2.0,19
303264,FABULOUS & LARGE 2 BEDROOM IN NYC!,Harlem,283.0,291.61,8.61,3.04,10,2.0,9
1029776177395261809,Modern Comforts: Central & Cozy.,Hell's Kitchen,386.0,313.33,-72.67,-18.83,4,1.0,43
43667745,Rosemary - 3 BDRM,Bedford-Stuyvesant,210.0,401.14,191.14,91.02,4,3.0,151
762108355757780127,Luxury 4 bedroom w/ Backyard near Barclay Center,Crown Heights,298.0,461.06,163.06,54.72,9,4.0,28
784122,New Renovation:Manhattan Charm....Brooklyn Flavor!,Bedford-Stuyvesant,189.0,162.15,-26.85,-14.21,4,2.0,94
1125454204459203690,Spacious rooms in a town house,Harlem,189.0,283.1,94.1,49.79,6,1.0,32
1094010528655760689,"Spacious duplex in BK, 20 min from city",Bushwick,374.0,563.64,189.64,50.71,10,4.0,88
786986645361368404,1br - Williamsburg - next to “L” train,Williamsburg,420.0,185.89,-234.11,-55.74,3,1.0,26
602952577502027312,Spacious Williamsburg Loft Bedroom w. Roof Terrace,Williamsburg,196.0,195.18,-0.82,-0.42,2,2.0,12
1034749271994349012,Riverside by Rove Travel | 7BR Modern Townhouse,Harlem,579.0,625.34,46.34,8.0,14,7.0,41
42038631,2 Bed + 2 Bath with City Views & Onsite Gym,Hell's Kitchen,204.0,416.84,212.84,104.33,4,2.0,6
741224200594669992,1597-PHS New 1BR/2bath PH Duplex W/D Outdoor Deck,Upper East Side,259.0,245.08,-13.92,-5.37,3,1.0,8
162508,Beautiful Brooklyn Oasis,Crown Heights,122.0,129.01,7.01,5.75,2,1.0,31
838321552121170735,Charming 2 bed Brooklyn Brownstone,Bedford-Stuyvesant,203.0,147.27,-55.73,-27.45,4,2.0,28
36198348,Mint Condition Crown Heights Studio with Amenities,Crown Heights,84.0,110.54,26.54,31.59,2,0.0,44
23489726,Bushwick Awesome Apartment,Bedford-Stuyvesant,80.0,123.84,43.84,54.8,8,1.0,10
52804286,Lovely 2 bedrooms apt  unit with  hot jet tub,Bushwick,352.0,285.96,-66.04,-18.76,4,2.0,39
44477235,Good Vibes Only: Massive 2 Bedroom Artsy Apartment,Bedford-Stuyvesant,342.0,219.78,-122.22,-35.74,5,2.0,12
850994914110684147,Sunny Modern Loft in Prime Williamsburg+Elevator,Williamsburg,200.0,206.69,6.69,3.35,2,1.0,25
768962003786730102,Trendy 2 Bedroom Brooklyn Apt. Close to Manhattan,Bedford-Stuyvesant,218.0,183.98,-34.02,-15.6,5,2.0,10
794387732348122664,Dreamy Treetop 2 Bedroom,Bedford-Stuyvesant,210.0,163.6,-46.4,-22.09,2,2.0,10
18599352,521 West 48-Studio in Midtown West,Hell's Kitchen,125.0,135.68,10.68,8.55,3,0.0,16
800130194293808699,The Perfect Brooklyn Haven,Bushwick,252.0,225.34,-26.66,-10.58,2,1.0,111
302309,PLUSH AND SPACIOUS 2-BEDROOM IN NYC,Harlem,300.0,283.34,-16.66,-5.55,9,2.0,7
10569037,165 East 89-Studio in Upper East Side,Upper East Side,127.0,119.99,-7.01,-5.52,2,0.0,16
2847932,Super Value Designer's Own Condo3 Bedrm 2 Bath,Upper East Side,350.0,311.63,-38.37,-10.96,7,3.0,5
22448487,Renovated 1 bedroom in Bedstuy Brooklyn brownstone,Bedford-Stuyvesant,135.0,123.22,-11.78,-8.73,2,1.0,27
12409217,521 West 48-Studio Near Times Square,Hell's Kitchen,125.0,111.79,-13.21,-10.57,3,0.0,9
1139399302559935460,Luxurious 5-Bedroom Haven in the Heart of Brooklyn,Crown Heights,599.0,600.7,1.7,0.28,10,5.0,59
548618432625308411,Beautifully Designed 2-Bed in Bed-Stuy,Bedford-Stuyvesant,110.0,160.61,50.61,46.0,3,2.0,16
